,140 PP? 140/485 CC?,Center,Type,485 RD,FP Notice Date ,Days from RD to FP Notice Date,Scheduled FP Date,FP Date,Walk in?,,"AP / EAD 
Approved 
Date","Days from
RD to AP/EAD AD",485 AD,"Days from
 FP Date to
485 AD",New Card Is Being Produced,Days from RD,Please Don't Filter Data!!!,,
thunder,"PP, non CC",NSC,EB1A,11/30/2015,,,,,,,,,Blessing,,,,,,
BW,"nonPP,non CC",NSC,EB1A,11/25/2015,,,,,,CA,,,Blessing,,,,,,
x,"PP, non CC",NSC,EB1A,11/16/2015,,,,,,,,,Blessing,,,,,,
d80,"PP, non CC",NSC,EB1B,11/10/2015,,,,,,,,,Blessing,,,,,,
wallr,"PP, non CC",NSC,EB1A,11/9/2015,12/5/2015,26,12/22/2015,,,CA,,,Blessing,,,,Walk in failed on 12/14 at San Jose. Insist that we should reschedule but not walk in.,,
dengfenglai,"PP, non CC",NSC,EB1A,11/6/2015,11/28/2015,22,12/17/2015,12/9/2015,Yes,OK,,,Blessing,,,,,,
xh,"PP, non CC",NSC,EB1A,11/5/2015,12/5/2015,30,12/23/2015,,,CA,,,Blessing,,,,,,
mythskew,"PP, non CC",NSC,EB1B,10/30/2015,11/27/2015,28,12/15/2015,12/15/2015,No,CA,,,Blessing,,,,,,
w,"PP, non CC",NSC,EB1A,10/27/2015,,,12/10/2015,12/10/2015,No,OH,,,Blessing,,,,,,
simpsons(副),-,NSC,EB1A,10/22/2015,11/21/2015,30,12/9/2015,11/30/2015,Yes,CA,12/7/2015,47,Blessing,,,,,,
yaya,"pp, nonCC",NSC,EB1A,10/22/2015,11/14/2015,23,11/30/2015,11/30/2015,NO,CO,,,Blessing,,,55,Walk in failed. Flight itineray required.,,
sailinsky,"PP, non cc",NSC,EB1B,10/19/2015,11/28/2015,40,12/8/2015,12/8/2015,,KS,,,Blessing,,,,,,
xiaofeie,"PP, non cc",NSC,EB1A,10/16/2015,11/13/2015,28,12/3/2015,12/3/2015,NO,CA,,,Blessing,,,;,,,
