"","X485RD_Date","FP_Date","AP_EAD_Date","X485AD_Date","Center","Type","State","Days_RDtoFP","Days_FPtoEAD","Days_EADto485AD","Days_RDto485AD","Year","Month"
"22",2015-09-28,2015-11-03,NA,2015-12-11,"NSC","eb1a","CA",36,NA,NA,74,2015,0
"29",2015-09-21,2015-10-13,2015-10-26,2015-11-05,"NSC","eb1a","CA",22,13,10,45,2015,0
"32",2015-09-18,2015-10-30,NA,2015-11-20,"NSC","eb1b","CO",42,NA,NA,63,2015,0
"33",2015-09-16,2015-10-20,2015-11-20,2015-11-24,"NSC","eb1a","OH",34,31,4,69,2015,0
"34",2015-09-16,2015-10-09,NA,2015-11-10,"NSC","eb1b","NY",23,NA,NA,55,2015,0
"35",2015-09-07,2015-10-23,2015-11-17,2015-11-17,"NSC","eb1b","CA",46,25,0,71,2015,0
"36",2015-09-04,2015-10-19,2015-11-19,2015-12-02,"NSC","eb1a","CA",45,31,13,89,2015,0
"38",2015-08-24,2015-09-30,NA,2015-10-26,"NSC","eb1a","NY",37,NA,NA,63,2015,0
"39",2015-08-21,2015-09-28,2015-10-14,2015-11-24,"NSC","eb1b","CA",38,16,41,95,2015,0
"40",2015-08-20,2015-09-21,NA,2015-10-16,"NSC","eb1a","CA",32,NA,NA,57,2015,0
"43",2015-08-11,2015-09-14,2015-10-07,2015-10-22,"NSC","eb1a","CA",34,23,15,72,2015,0
"46",2015-08-10,2015-09-26,NA,2015-10-22,"NSC","eb1a","OH",47,NA,NA,73,2015,0
"52",2015-07-24,2015-08-18,2015-09-25,2015-11-20,"TSC","eb1b","CA",25,38,56,119,2015,0
"53",2015-07-20,2015-08-25,NA,2015-10-26,"NSC","eb1a","CA",36,NA,NA,98,2015,0
"57",2015-07-07,2015-08-10,2015-09-30,2015-11-10,"NSC","eb1a","MI",34,51,41,126,2015,0
"58",2015-07-01,2015-08-10,2015-09-18,2015-10-21,"NSC","eb1a","AZ",40,39,33,112,2015,0
"60",2015-07-01,2015-08-18,2015-09-21,2015-10-21,"NSC","eb1a","IL",48,34,30,112,2015,0
"67",2015-06-23,2015-08-10,2015-09-21,2015-10-21,"NSC","eb1b","CA",48,42,30,120,2015,0
"68",2015-06-23,2015-07-31,NA,2015-09-23,"NSC","eb1b","IL",38,NA,NA,92,2015,0
"84",2015-05-27,2015-07-15,2015-08-05,2015-10-21,"NSC","eb1a","IN",49,21,77,147,2015,0
"102",2015-05-08,2015-06-30,2015-07-13,2015-10-01,"NSC","eb1a","CA",53,13,80,146,2015,0
"116",2015-04-30,2015-06-02,2015-07-09,2015-12-10,"NSC","eb1b","CA",33,37,154,224,2015,0
"139",2015-04-02,2015-05-18,2015-06-10,2015-12-01,"NSC","eb1a","SC",46,23,174,243,2015,0
"143",2015-03-26,2015-05-11,2015-05-28,2015-12-08,"NSC","eb1a","NE",46,17,194,257,2015,0
"222",2015-01-06,2015-02-18,2015-04-06,2015-10-16,"NSC","eb1a","CA",43,47,193,283,2015,0
"835",2015-10-23,2015-11-16,NA,2015-12-07,"tsc","eb1a",NA,24,NA,NA,45,2015,0
"858",2015-07-28,2015-08-21,2015-10-21,2015-12-03,"TSC","eb1a","TX",24,61,43,128,2015,0
"861",2015-07-24,2015-08-10,NA,2015-10-01,"TSC","eb1a","TX",17,NA,NA,69,2015,0
"874",2015-07-07,2015-08-04,2015-10-03,2015-12-03,"TSC","eb1a","TX",28,60,61,149,2015,0
"878",2015-07-06,2015-07-17,2015-09-04,2015-10-07,"TSC","eb1a","VA",11,49,33,93,2015,0
"880",2015-07-02,2015-07-24,2015-09-24,2015-10-29,"TSC","eb1a","PA",22,62,35,119,2015,0
"886",2015-06-24,2015-07-23,2015-09-21,2015-10-16,"TSC","eb1b","TN",29,60,25,114,2015,0
"895",2015-06-09,2015-06-26,NA,2015-10-01,"TSC","eb1b","AR",17,NA,NA,114,2015,0
"898",2015-06-01,2015-06-24,2015-08-18,2015-10-07,"TSC","eb1a","TX",23,55,50,128,2015,0
"899",2015-05-29,2015-06-26,2015-10-03,2015-10-22,"TSC","eb1b","KY",28,99,19,146,2015,0
"906",2015-05-19,2015-06-24,2015-08-10,2015-08-10,"TSC","eb1b","MA",36,47,0,83,2015,0
"908",2015-05-18,2015-06-18,NA,2015-08-14,"TSC","eb1b","LA",31,NA,NA,88,2015,0
"909",2015-05-18,2015-06-08,NA,2015-08-06,"TSC","eb1a",NA,21,NA,NA,80,2015,0
"910",2015-05-18,2015-06-11,NA,2015-06-29,"TSC","eb1a","NH",24,NA,NA,42,2015,0
"911",2015-05-18,2015-06-11,NA,2015-06-29,"TSC","eb1a","MA",24,NA,NA,42,2015,0
"912",2015-05-13,2015-06-05,NA,2015-07-22,"TSC","eb1b","MA",23,NA,NA,70,2015,0
"915",2015-05-08,2015-06-05,2015-07-27,2015-10-28,"TSC","eb1a","NC",28,52,93,173,2015,0
"917",2015-05-07,2015-06-02,NA,2015-07-17,"TSC","eb1a","SC",26,NA,NA,71,2015,0
"919",2015-05-06,2015-06-04,NA,2015-07-13,"TSC","eb1a","PA",29,NA,NA,68,2015,0
"920",2015-05-05,2015-06-03,2015-07-14,2015-07-25,"TSC","eb1a","MD",29,41,11,81,2015,0
"921",2015-05-04,2015-06-05,NA,2015-06-13,"TSC",NA,NA,32,NA,NA,40,2015,0
"925",2015-04-29,2015-05-20,2015-06-15,2015-06-16,"TSC","eb1a","MD",21,26,1,48,2015,0
"926",2015-04-28,2015-05-20,2015-06-11,2015-06-12,"TSC","eb1a",NA,22,22,1,45,2015,0
"927",2015-04-28,2015-05-20,NA,2015-06-12,"TSC","eb1a",NA,22,NA,NA,45,2015,0
"928",2015-04-28,2015-05-19,2015-06-11,2015-07-28,"TSC","eb1a",NA,21,23,47,91,2015,0
"929",2015-04-28,2015-05-19,2015-07-14,2015-11-04,"TSC","eb1a",NA,21,56,113,190,2015,0
"932",2015-04-22,2015-05-12,NA,2015-06-02,"TSC","eb1b",NA,20,NA,NA,41,2015,0
"934",2015-04-22,2015-05-21,2015-06-25,2015-07-24,"TSC","eb1b","MA",29,35,29,93,2015,0
"935",2015-04-21,2015-05-14,NA,2015-06-24,"TSC","eb1b","TX",23,NA,NA,64,2015,0
"937",2015-04-21,2015-05-21,NA,2015-06-19,"TSC","eb1a","MD",30,NA,NA,59,2015,0
"938",2015-04-21,2015-05-20,2015-07-15,2015-10-30,"TSC","eb1a","TX",29,56,107,192,2015,0
